Nucleus,Z,A,"B/A (our model, MeV)","B/A (LDM, MeV)","B/A (EXP, MeV)"
H,1,3,3.29123,0.6105,2.827
He,2,4,7.40526,5.4863,7.074
Li,3,6,4.93684,4.60667,5.33233
Li,3,7,4.54503,5.48336,5.60629
Be,4,9,5.75965,6.2924,6.46278
B,5,10,6.91158,6.30939,6.4751
B,5,11,6.52262,6.82388,6.92773
C,6,12,7.40526,7.31242,7.68017
C,6,13,7.0466,7.20223,7.46985
N,7,14,7.75789,7.11861,7.47564
N,7,15,7.42877,7.48535,7.69947
O,8,16,8.02237,7.73211,7.97619
O,8,17,7.71987,7.70438,7.75076
F,9,19,7.94899,7.87776,7.779
Ne,10,21,8.13404,8.01728,7.97171
Na,11,23,8.28661,8.17431,8.11148
Mg,12,25,8.41457,8.22397,8.22352
Mg,12,26,8.18587,8.35642,8.33388
Al,13,27,8.52344,8.30071,8.33156
Si,14,29,8.61718,8.36406,8.44866
Si,14,30,8.41614,8.48917,8.52067
P,15,31,8.69875,8.4163,8.48119
S,16,34,8.59107,8.57741,8.5835
Cl,17,37,8.49231,8.58581,8.5703
Ar,18,38,8.72849,8.6344,8.61429
K,19,41,8.63155,8.64551,8.57607
Ca,20,43,8.69114,8.66599,8.60067
Sc,21,45,8.74526,8.68134,8.61884
Ti,22,47,8.79465,8.69223,8.66113
Ti,22,48,8.65817,8.74848,8.72292
V,23,50,8.70888,8.69335,8.69588
Cr,24,52,8.75551,8.76065,8.77594
Mn,25,55,8.67687,8.74901,8.765
Fe,26,56,8.83839,8.75985,8.79032
Fe,26,57,8.72109,8.75142,8.77026
Co,27,59,8.76215,8.75084,8.76802
Ni,28,61,8.80037,8.7476,8.76502
Cu,29,63,8.83606,8.74199,8.75214
Cu,29,65,8.62354,8.76012,8.75711
Zn,30,66,8.76663,8.77127,8.75964
Ga,31,69,8.70121,8.75196,8.72458
Ge,32,70,8.83342,8.75222,8.72173
As,33,75,8.58113,8.73985,8.70085
Se,34,76,8.70953,8.74887,8.71149
Br,35,79,8.65242,8.72461,8.68761
Kr,36,80,8.77204,8.72447,8.69293
Rb,37,85,8.54673,8.70027,8.69745
Sr,38,84,8.82816,8.69437,8.67745
Sr,38,86,8.66314,8.70634,8.70847
Sr,38,88,8.49775,"869,804",8.7326
Y,39,89,8.61257,8.67965,8.71391
Zr,40,90,8.72175,8.67799,8.70992
Nb,41,93,8.67217,8.65307,8.66414
Mo,42,94,8.77494,8.64476,8.6623
Mo,42,95,8.6999,8.63786,8.64868
Ru,44,100,8.67987,8.61943,8.61928
Ru,44,101,8.608,8.60868,8.60129
Rh,45,103,8.6353,8.59314,8.58411
Pd,46,105,8.66145,8.57653,8.57061
Pd,46,106,8.59256,8.58669,8.57994
Ag,47,107,8.68651,8.55892,8.55386
Cd,48,110,8.64446,8.55271,8.55133
Cd,48,111,8.57832,8.53359,8.53714
In,49,113,8.60403,8.52577,8.52296
Sn,50,115,8.62874,8.50802,8.5141
Sn,50,116,8.56514,8.51632,8.52314
Sb,51,121,8.40274,8.4768,8.48202
Te,52,122,8.49162,8.47611,8.47814
,53,127,8.33638,8.4321,8.44549
Xe,54,126,8.54152,8.44149,8.44372
Cs ,55,133,8.27464,8.38604,8.40998
Ba,56,132,8.47384,8.39985,8.40938
Ba,56,134,8.35965,8.38827,8.40818
La,57,138,8.27326,8.3425,8.37517
La,57,139,8.21706,8.33888,8.37806
Ce,58,138,8.41064,8.35613,8.37707
Pr,59,141,8.38058,8.32701,8.35404
Nd,60,143,8.40491,8.31014,8.33053
Nd,60,144,8.35149,8.31093,8.32697
Sm,62,149,8.34778,8.26527,8.26351
Sm,62,150,8.29602,8.2647,8.26167
Eu,63,153,8.26956,8.2354,8.22875
Gd,64,155,8.29409,8.21945,8.2133
Gd,64,156,8.24389,8.21778,8.21537
Tb,65,159,8.21899,8.18856,8.18885
Dy,66,160,8.29227,8.18534,8.18409
Dy,66,161,8.24356,8.17299,8.17335
Ho,67,165,8.17136,8.14135,8.14701
Er,68,167,8.1959,8.12611,8.13178
Tm,69,169,8.21974,8.11017,8.11451
Yb,70,173,8.15089,8.079,8.08746
Lu,71,176,8.1293,8.05062,8.05906
Hf,72,179,8.1083,8.0318,8.0386
Hf,72,180,8.06351,8.02743,8.03498
Ta,73,181,8.13205,8.01643,8.02343
W,74,186,8.02434,7.97987,7.98861
Re,75,187,8.09161,7.96947,7.97795
Os,76,192,7.98718,7.93248,7.94852
Ir,77,193,8.05322,7.92257,7.93812
Pt,78,198,7.95188,7.88531,7.91418
Au,79,197,8.09854,7.89091,7.91566
Hg,80,204,7.91831,7.83841,7.88555
T,81,205,7.982,7.82921,7.8784
Pb,82,208,7.96525,7.80973,7.86746
Bi,83,209,8.02686,7.79827,7.84799
Th,90,232,7.84441,7.62579,7.61503
U,92,234,7.95839,7.60908,7.60071
U,92,235,7.92315,7.59957,7.59091
U,92,238,7.81742,7.58055,7.57013
